Rank,Institution,Country,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_per_Paper,Staff_with_PhD,Employability_Score,Employability_Category
36,Taylor's University,Malaysia,73.3,98.5,98.8,95.7,14.0,61.3,Good
37,Universiti Sains Malaysia (USM),Malaysia,96.9,96.6,63.1,27.5,54.2,80.8,Excellent
38,Wuhan University,China (Mainland),85.0,82.8,26.2,93.7,88.5,66.44,Good
39,National Tsing Hua University,Taiwan,94.7,96.9,46.5,44.6,94.4,79.0,Good
40,Kyung Hee University,South Korea,66.8,80.1,93.7,72.9,94.4,65.78,Good
41,National Cheng Kung University (NCKU),Taiwan,93.5,97.6,53.1,37.6,81.8,80.2,Excellent
42,National Yang Ming Chiao Tung University,Taiwan,78.7,94.5,71.7,28.7,96.8,75.77,Good
43,Tongji University,China (Mainland),77.4,54.1,47.8,79.2,76.1,65.31,Good
44,Indian Institute of Technology Delhi (IITD),India,95.0,99.0,27.2,26.9,94.7,67.81,Good
45,UCSI University,Malaysia,72.4,94.9,97.6,48.4,21.0,59.23,Average
46,Universitas Indonesia,Indonesia,95.2,98.0,85.9,1.5,10.6,61.12,Good
47,Chulalongkorn University,Thailand,98.3,79.0,51.1,31.2,78.0,65.78,Good
51,Waseda University,Japan,96.5,99.9,40.4,10.7,18.1,61.96,Good
52,Airlangga University,Indonesia,85.1,97.8,82.4,1.4,9.7,60.29,Good
55,Mahidol University,Thailand,88.8,62.4,93.3,19.8,81.8,64.32,Good
56,Indian Institute of Technology Madras (IITM),India,88.7,95.0,30.5,16.5,99.9,68.54,Good
57,Tianjin University,China (Mainland),53.3,53.0,69.8,89.9,56.0,57.28,Average
58,Harbin Institute of Technology,China (Mainland),71.2,63.4,45.9,78.6,77.4,63.03,Good
59,Bandung Institute of Technology (ITB),Indonesia,88.5,96.5,71.0,1.8,79.8,80.74,Excellent
60,Indian Institute of Technology Kharagpur (IIT-KGP),India,80.3,89.5,14.8,36.1,99.9,64.28,Good
61,Beijing Normal University ,China (Mainland),79.8,40.5,41.5,86.9,92.4,69.5,Good
62,Indian Institute of Science,India,92.7,68.6,49.8,28.6,99.9,60.35,Good
63,University of Tsukuba,Japan,82.6,63.5,74.8,16.2,88.2,64.54,Good
64,Beijing Institute of Technology,China (Mainland),65.0,65.6,64.2,77.1,64.0,59.69,Average
65,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,86.5,94.8,94.8,2.2,54.2,82.8,Excellent
66,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,71.9,80.7,64.3,55.4,58.2,61.72,Good
69,Huazhong University of Science and Technology,China (Mainland),59.9,71.1,15.1,96.1,81.5,59.23,Average
70,Ewha Womans University,South Korea,65.4,61.6,90.6,60.0,95.3,61.94,Good
71,Hong Kong Baptist University,Hong Kong SAR,55.6,43.7,80.0,96.9,52.1,65.67,Good
72,Xian Jiaotong University,China (Mainland),57.2,82.0,24.1,71.2,71.6,60.35,Good
73,Chung-Ang University (CAU),South Korea,53.3,75.2,85.1,52.0,91.6,62.87,Good
74,Sunway University,Malaysia,48.9,81.8,71.9,77.9,14.9,50.0,Average
75,Shandong University,China (Mainland),52.1,78.7,30.5,69.6,71.5,61.09,Good
78,Universiti Brunei Darussalam (UBD),Brunei,59.6,42.9,98.1,26.4,94.3,63.18,Good
83,National Sun Yat-sen University,Taiwan,70.3,66.9,51.4,24.2,96.0,60.37,Good
86,University of the Philippines,Philippines,83.0,94.4,47.9,6.4,1.0,59.74,Average
87,University of Tehran,"Iran, Islamic Republic of",61.0,75.5,5.7,70.5,62.7,56.27,Average
88,Ulsan National Institute of Science and Technology (UNIST),South Korea,45.2,47.1,98.8,99.7,99.8,73.73,Good
89,Satbayev University,Kazakhstan,81.8,82.6,98.7,1.5,17.2,60.54,Good
90,Jilin University,China (Mainland),41.2,86.8,57.8,78.3,41.9,50.0,Average
91,National Taipei University of Technology,Taiwan,45.6,91.4,41.6,42.5,99.9,70.25,Good
94,Sichuan University,China (Mainland),59.9,49.8,20.0,76.0,67.8,55.88,Average
95,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,36.7,56.4,94.7,87.6,98.4,67.92,Good
96,Hiroshima University,Japan,66.4,44.5,90.4,9.7,68.5,65.5,Good
97,Sharif University of Technology,"Iran, Islamic Republic of",40.4,82.1,8.6,71.0,99.9,60.48,Good
98,Nankai University,China (Mainland),56.1,38.0,43.0,99.8,93.2,59.94,Average
99,University of Macau,Macau SAR,40.8,39.8,15.7,97.4,89.1,44.83,Average
100,Sejong University ,South Korea,38.7,52.6,22.5,99.1,74.6,51.66,Average
103,Renmin (People's) University of China,China (Mainland),58.6,80.3,30.0,71.5,87.2,63.71,Good
104,Indian Institute of Technology Guwahati (IITG),India,58.0,72.0,11.5,33.8,99.2,59.04,Average
105,Gwangju Institute of Science and Technology (GIST),South Korea,48.3,35.9,59.0,75.8,99.9,54.32,Average
106,University of Chinese Academy of Sciences,China (Mainland),60.7,22.7,7.1,88.1,97.5,55.54,Average
107,Southern University of Science and Technology,China (Mainland),32.8,11.4,94.2,98.8,96.5,56.76,Average
110,Jawaharlal Nehru University,India,76.8,49.0,19.6,38.7,99.5,50.0,Average
111,East China Normal University,China (Mainland),44.3,21.6,29.7,90.8,83.3,45.57,Average
114,Institut Teknologi Sepuluh Nopember (ITS Surabaya),Indonesia,56.8,84.6,85.8,1.5,1.0,53.17,Average
115,Lahore University of Management Sciences (LUMS),Pakistan,53.4,97.4,45.4,58.6,12.1,51.9,Average
116,Inha University,South Korea,42.2,49.0,93.6,64.2,41.2,49.42,Average
122,Taipei Medical University (TMU),Taiwan,37.0,45.0,97.4,39.7,94.1,59.23,Average
123,National Chengchi University,Taiwan,59.3,80.7,31.2,8.1,79.4,64.0,Good
126,Beihang University (former BUAA),China (Mainland),41.1,32.4,71.2,64.5,66.5,52.66,Average
127,Duy Tan University,Vietnam,38.3,64.1,7.8,100.0,1.8,50.0,Average
128,Thammasat University,Thailand,67.3,58.6,44.6,5.7,59.3,64.85,Good
133,International Islamic University Malaysia (IIUM),Malaysia,67.1,54.3,25.3,4.2,16.5,52.34,Average
141,Krirk University,Thailand,43.1,86.7,65.6,1.3,54.8,71.22,Good
142,Ateneo de Manila University,Philippines,64.2,93.6,41.7,5.8,1.8,55.78,Average
